['ABO', 'FUT5', 'B4GALT2', 'FUT8', 'B4GALNT4']
['ABR', 'RHOA', 'PLEK', 'TLN1', 'KANK1']
['ABRA', 'ABLIM3', 'RAC2', 'VAV2', 'BTK']
['ABT1', 'ESF1', 'WDR46', 'PDCD11', 'NOC2L']
['ABTB1', 'EEF1D', 'RPS27', 'RPS3', 'RPLP1']
['ACAA1', 'IVD', 'MCCC2', 'ACADS', 'HIBADH']
['ACAA2', 'DLST', 'NDUFS8', 'NDUFAF7', 'NDUFS7']
['ACACA', 'SUCLA2', 'ACADM', 'ECHS1', 'PCCB']
['ACACB', 'ASS1', 'NAGS', 'UPRT', 'ENTPD4']
['ACAD10', 'HADH', 'CARTPT', 'AGRP', 'ASIP']
['ACAD11', 'NSFL1C', 'YOD1', 'PLAA', 'UBE4A']
['ACAD8', 'HADHA', 'ACSL1', 'COASY', 'SLC27A4']
['ACAD9', 'NDUFAF4', 'NDUFS5', 'NDUFAF2', 'MT-ND1']
['ACADL', 'FASN', 'SCARB2', 'PROCR', 'CD36']
['ACADM', 'HSDL2', 'ACSS1', 'ABAT', 'ALDH5A1']
['ACADS', 'ACOX3', 'ACADVL', 'SLC25A20', 'HSD17B4']
['ACADSB', 'DBT', 'AGXT2', 'ALDH2', 'CYP4A22']
['ACADVL', 'EHHADH', 'OXCT2', 'OXCT1', 'HADHB']
['ACAN', 'HAPLN1', 'SLC6A8', 'GATM', 'AGXT']
['ACAP1', 'RAB35', 'TSG101', 'RPS27A', 'CSNK1D']
['ACAP2', 'RAB35', 'TBC1D13', 'ENDOG', 'APAF1']
['ACAT1', 'OXCT2', 'ACAA2', 'HADHA', 'ACADM']
['ACAT2', 'ACSS2', 'SUCLG1', 'SUCLA2', 'NDUFS3']
['ACBD3', 'GOLGB1', 'EEA1', 'GOLGA2', 'TGOLN2']
['ACBD4', 'VAPA', 'RAB3GAP1', 'DMXL1', 'ATP6V1G1']
['ACBD5', 'PEX13', 'PEX3', 'APOA4', 'APOL1']
['ACCS', 'FLCN', 'PRKAG1', 'MAP3K7', 'TAB1']
['ACCSL', 'FLCN', 'STK11', 'NF1', 'SMAD4']
['ACE', 'DPP4', 'NAALADL1', 'CD4', 'HLA-DRA']
['ACE2', 'CTSS', 'IL1B', 'NOD2', 'CLEC7A']
['ACER1', 'CERK', 'SMPD2', 'NSMAF', 'TNFRSF1A']
['ACER2', 'SGPP2', 'DEGS2', 'SPHK2', 'MAPK3']
['ACER3', 'DEGS1', 'GALC', 'PSAP', 'CTSL']
['ACHE', 'CHKA', 'PCYT1A', 'CEPT1', 'PLB1']
['ACIN1', 'HNRNPU', 'PTGES3', 'TCP1', 'VBP1']
['ACKR1', 'CXCL8', 'CCR8', 'ARRB2', 'ARRB1']
['ACKR2', 'CCL3', 'CXCL5', 'CXCL1', 'CCL13']
['ACKR3', 'CCR5', 'CD69', 'IL15', 'CCL2']
['ACKR4', 'MADCAM1', 'CD4', 'TNF', 'XIAP']
['ACLY', 'GLUD2', 'ALDH18A1', 'ZFYVE27', 'VAPB']
['ACMSD', 'CCDC62', 'SYT12']
['ACO1', 'CS', 'DDB1', 'FBXW5', 'FBXW4']
['ACO2', 'IBA57', 'ISCA2', 'HSCB', 'GLRX5']
['ACOT1', 'ACOT8', 'HADH', 'HSDL2', 'ACSF3']
['ACOT11', 'SLCO1A2', 'ABCG2', 'ALDH1A1', 'RDH16']
['ACOT12', 'ACSS1', 'HSDL2', 'ALDH5A1', 'PC']
['ACOT13', 'ACOT8', 'SLC27A5', 'BAAT', 'AKR1D1']
['ACOT2', 'FBP1', 'TRIM28', 'EZH2', 'AR']
['ACOT4', 'PFKP', 'TPI1', 'TKTL2', 'PGK2']
['ACOT7', 'THEM4', 'AKT2', 'GSK3B', 'TLR3']
['ACOT8', 'ACOT9', 'ACOT2', 'ACOT7', 'ACOT4']
['ACOT9', 'ACOT2', 'ACOT7', 'THEM4', 'ACOT1']
['ACOX1', 'DHRS4', 'DHRS4L2']
['ACOX2', 'ECI2', 'IVD', 'HADHA', 'ACADS']
['ACOX3', 'ACSS1', 'SUCLG2', 'DLAT', 'BCKDHA']
['ACOXL', 'HSDL2', 'ETFDH', 'NDUFV2', 'COX7C']
['ACP1', 'GLRX', 'TXN', 'SOD1', 'PSMB6']
['ACP5', 'TNFRSF11B', 'TNFSF10', 'TNFRSF10A', 'FASLG']
['ACP6', 'NBPF11', 'GPR89B', 'GPR89A', 'CT47A4']
['ACR', 'ZP2', 'PLGLB1']
['ACRBP', 'GP9', 'GP1BA', 'GP1BB', 'CALML4']
['ACRV1', 'ACVR1', 'ACVR1B', 'BMP2', 'FGF8']
['ACSBG1', 'PPT1', 'CTSD', 'CTSL', 'BSG']
['ACSBG2', 'PPT1', 'ACSL4', 'CPT1C', 'CPT1A']
['ACSF2', 'MRPL43', 'SMKR1', 'RPL18A', 'RPL29']
['ACSF3', 'MLYCD', 'PRKAB2', 'SESN2', 'NPRL2']
['ACSL1', 'SCARB2', 'LYN', 'DAPP1', 'RAC2']
['ACSL3', 'SLC27A2', 'ABCD2', 'PEX11B', 'PEX16']
['ACSL4', 'PNPLA2', 'UCP1', 'BMP7', 'BMP8B']
['ACSL5', 'PNPLA2', 'LPL', 'CLU', 'ABCA7']
['ACSL6', 'ACSL4', 'PPT2', 'MECR', 'ECHS1']
['ACSM1', 'GBP5', 'GBP2', 'IFNG', 'TLR4']
['ACSM2A', 'ACADS', 'ALDH9A1', 'GAD1', 'L2HGDH']
['ACSM2B', 'ACSM2A', 'HSDL2', 'ACSM3', 'EHHADH']
['ACSM3', 'HSDL2', 'ACAT1', 'HMGCS2', 'HMGCR']
['ACSM4', 'ACADS', 'EHHADH', 'HSD17B4', 'DHRS4']
['ACSM5', 'ACADS', 'AOX1', 'RDH12', 'ZNF513']
['ACSS1', 'CS', 'G6PD', 'TPI1', 'PFKP']
['ACSS2', 'AGXT2', 'BCAT2', 'DBT', 'ALDH2']
['ACSS3', 'ALDH2', 'CNDP2', 'GAD2', 'AGXT2']
['ACTA1', 'TTN', 'MYLK4', 'CALML4', 'HDAC9']
['ACTA2', 'SETD3', 'SMYD2', 'TP53', 'KLF4']
['ACTB', 'NCF1', 'TLR4', 'CSF2', 'HLA-A']
['ACTBL2', 'PFDN2', 'RPAP3', 'POLR3B', 'RPL5']
['ACTC1', 'TPM3', 'MYL12A', 'MYL12B', 'MYH9']
['ACTG1', 'TMSB4X', 'ACTB', 'CTNNA2', 'TLN2']
['ACTG2', 'ACTA2', 'COL1A2', 'COL16A1', 'COL4A5']
['ACTL6A', 'ACTR8', 'YY1', 'NANOG', 'GJB2']
['ACTL6B', 'RUVBL2', 'CCT5', 'RPS3', 'RIOK2']
['ACTL7A', 'ACTR10', 'ACTA1', 'PLS3', 'SMN2']
['ACTL7B', 'ACTR10', 'HAP1', 'GABRP', 'TRAK2']
['ACTL8', 'ACTR10', 'DYNC1LI2', 'DCTN3', 'ACTR1B']
['ACTL9', 'DCTN2', 'DYNC1LI2', 'DCTN4', 'DYNC1LI1']
['ACTN1', 'CTNNA3', 'CTNNB1', 'CD8A', 'BATF']
['ACTN2', 'MYH1', 'MYL12B', 'MYLK2', 'MYL5']
['ACTN3', 'TNNC2', 'TNNC1', 'CSRP3', 'ANKRD1']
['ACTN4', 'IQGAP1', 'PPP2R1A', 'IRAK4', 'TLR7']
['ACTR10', 'TPPP', 'ACTR3B', 'WASF2', 'ACTR2']
['ACTR1A', 'DCTN5', 'CAPZB', 'PLS1', 'MSN']
['ACTR1B', 'CAPZB', 'PDE8B', 'AMPD3', 'PDE1C']
['ACTR2', 'VASP', 'CRKL', 'WAS', 'LCP2']
['ACTR3', 'ARPC3', 'ARPC5L', 'GPBAR1', 'FFAR2']
['ACTR3B', 'DCTN5', 'CAPZB', 'CAPZA1', 'ACTR3']
['ACTR3C', 'CAPZA1', 'ACTR3', 'WIPF1', 'NCK1']
['ACTR5', 'ANP32E', 'ANP32A', 'APEX1', 'MSH6']
['ACTR6', 'RUVBL1', 'POLR2J', 'RPRD2', 'RPAP2']
['ACTR8', 'ANP32E', 'ING3', 'KANSL1', 'INO80C']
['ACTRT3', 'MYNN', 'LRRIQ4', 'LRRC34', 'MYNN']
['ACVR1', 'BMP8B', 'BMPR1A', 'TFRC', 'KIT']
['ACVR1B', 'NODAL', 'FURIN', 'CTSL', 'CTRB1']
['ACVR1C', 'ACVR2A', 'GDF5', 'HSP90AA1', 'HSPA1L']
['ACVR2A', 'BMP5', 'TWSG1', 'CHRDL2', 'GDF5']
['ACVR2B', 'SMAD3', 'IRF7', 'NFKB1', 'CD80']
['ACVRL1', 'SMAD1', 'LEMD3', 'CDC5L', 'CSTF3']
['ACY1', 'ASPA', 'GAD1', 'GADL1', 'ABAT']
['ACY3', 'ASPA', 'FOLH1', 'MSLN', 'CEACAM5']
['ACYP1', 'ACYP2', 'ALDH2', 'GLUD2', 'OAT']
['ACYP2', 'ALDH1B1', 'ADH1A', 'RETSAT', 'FH']
['ADA', 'ENTPD1', 'NT5E', 'TYMP', 'UMPS']
['ADAL', 'APRT', 'GDA', 'NT5E', 'PECAM1']
['ADAM10', 'NCSTN', 'APH1B', 'NOTCH3', 'NFKB1']
['ADAM11', 'LGI1', 'BIN1', 'PNMA2', 'SOX1']
['ADAM12', 'GRB2', 'CD28', 'ITGA4', 'ITGB3']
['ADAM15', 'SRC', 'FAS', 'ICOS', 'CD27']
['ADAM17', 'SELL', 'TLR4', 'AKT1', 'E2F1']
['ADAM19', 'MAD2L2', 'PRCC', 'NONO', 'PTBP1']
['ADAM2', 'SPAM1', 'CD44', 'PKM', 'H6PD']
['ADAM20', 'ADAM2', 'ADAM30', 'ADAM21', 'ADAM20']
['ADAM21', 'ADAM30', 'ADAM2', 'CLGN', 'HSPA5']
['ADAM22', 'DLG4', 'SYP', 'SST', 'GABBR1']
['ADAM23', 'LGI3', 'ADAM22', 'LGI2', 'ADAM22']
['ADAM28', 'LGI1', 'DPYSL5', 'DPYS', 'DHODH']
['ADAM30', 'ADAM2', 'ADAM21', 'ADAM20', 'ADAM2']
['ADAM33', 'PHF11', 'SPINK5', 'KLK6', 'APP']
['ADAM8', 'ASB17', 'ASB2', 'CUL5', 'CBFB']
['ADAM9', 'PACSIN3', 'FCHO2', 'AP2B1', 'AP2A1']
['ADAMTS1', 'ACAN', 'COL1A1', 'SPARC', 'STAB1']
['ADAMTS10', 'FBN1', 'ITGA5', 'COMP', 'ITGA3']
['ADAMTS12', 'USF1', 'FASN', 'OLAH', 'AASDH']
['ADAMTS13', 'CFHR1', 'C3', 'C4A', 'C4B']
['ADAMTS14', 'SGPL1', 'SGPP1', 'SPHK1', 'CERS2']
['ADAMTS17', 'FBN2', 'FN1', 'VIM', 'HLA-DRA']
['ADAMTS2', 'COL1A1', 'ITGB8', 'LAMA3', 'MMP7']
['ADAMTS3', 'ACAN', 'MATN1', 'COL2A1', 'RUNX2']
['ADAMTS4', 'FURIN', 'MMP11', 'MMP1', 'CXCL5']
['ADAMTS5', 'MMP13', 'TNFSF11', 'IL10', 'CD4']
['ADAMTS6', 'FURIN', 'PRSS8', 'SPINT1', 'HGF']
['ADAMTS7', 'FURIN', 'ADAMTS4', 'EFEMP2', 'ATP6V0A2']
['ADAMTS8', 'COL18A1', 'KDR', 'IGF2', 'FGFR1']
['ADAMTS9', 'CDC123', 'EIF2S2', 'RPS4X', 'SEC61A1']
['ADAMTSL1', 'POFUT2', 'PADI2']
['ADAMTSL2', 'FBN1', 'MFAP2', 'FBLN5', 'ATP6V0A2']
['ADAMTSL3', 'TMEM212', 'CFAP54', 'WDPCP', 'CC2D2A']
['ADAMTSL4', 'FBN1', 'MMP9', 'CTSS', 'TIMP1']
['ADAMTSL5', 'FBN1', 'VTN', 'KNG1', 'PDYN']
['ADAP1', 'ARF6', 'RALA', 'REPS2', 'EPN1']
['ADAP2', 'CRLF3', 'TEFM', 'TFB2M', 'RPF2']
['ADAR', 'RNASEH2C', 'RNASEH2B', 'SAMHD1', 'RNASEH2A']
['ADARB1', 'ADA', 'ADARB2', 'HNRNPA3', 'YBX1']
['ADARB2', 'GRIA2', 'NSF', 'GABRA3', 'GABRQ']
['ADAT1', 'ADAT3', 'ADAR', 'ADA', 'DPP4']
['ADAT2', 'TYMS', 'PHGDH', 'GAPDH', 'SYN1']
['ADAT3', 'NT5E', 'ENPP1', 'PDE11A', 'ADK']
['ADCK1', 'COQ3', 'COQ7', 'NDUFA9', 'NDUFC1']
['ADCK2', 'COQ3', 'COQ7', 'PDSS1', 'COQ9']
['ADCK5', 'COQ3', 'KMO', 'QPRT', 'NT5C']
['ADCY1', 'PRKCG', 'GNB1', 'GNAI2', 'SSTR2']
['ADCY10', 'NTPCR', 'TPK1', 'ALPL', 'SLC30A7']
['ADCY2', 'AKT3', 'PLEK', 'OSBP', 'VAPA']
['ADCY3', 'CAMK2B', 'ADCY2', 'GNB1', 'GAL']
['ADCY4', 'GNG13', 'OR2V1', 'GNAL', 'OR4A5']
['ADCY5', 'PRKACG', 'NDUFS4', 'SLC25A25', 'MT-ND1']
['ADCY6', 'PDE1B', 'ADCY5', 'GCK', 'GALM']
['ADCY7', 'PRKCG', 'KRAS', 'BRAF', 'MITF']
['ADCY8', 'GNB3', 'PTGER4', 'PRKACA', 'RAP1B']
['ADCY9', 'GNG2', 'CX3CL1', 'CCR5', 'CXCL16']
['ADCYAP1', 'GHRHR', 'IGF1', 'SERPINE1', 'MMP9']
['ADD1', 'TPI1', 'EEF2', 'RPLP1', 'RPL10L']
['ADD2', 'ADD3', 'ANK1', 'TRPV3', 'TRPC1']
['ADD3', 'DMTN', 'TMOD1', 'SCIN', 'GC']
['ADGB', 'NGB', 'CYGB', 'RHBDF2', 'SSR2']
['ADH1A', 'ALDH7A1', 'CYP4A22', 'CYP2A6', 'CYP2A7']
['ADH1B', 'UGT2B4', 'AOX1', 'GPHN', 'SLC32A1']
['ADH1C', 'GSTA2', 'GPX6', 'GSTA5', 'GSTA4']
['ADH4', 'CYP2E1', 'ALDH3B2', 'GAD1', 'PVALB']
['ADH5', 'COMT', 'APOL6']
['ADH6', 'GSTM1', 'HPGDS', 'GPX8', 'GPT']
['ADH7', 'ADHFE1', 'HSDL2', 'L1TD1', 'DPPA4']
['ADHFE1', 'AGXT', 'CTBP1', 'BCORL1', 'BCL6']
['ADI1', 'APIP', 'MRI1', 'ADD3', 'TMOD3']
['ADIPOQ', 'IL10', 'CX3CL1', 'CCL2', 'ICAM1']
['ADIPOR1', 'RETNLB', 'LEP', 'CSF3', 'EPO']
['ADIPOR2', 'NAMPT', 'INS', 'PRKACB', 'CSNK1G2']
['ADIRF', 'PPARG', 'CEBPB', 'MAPK13', 'NCF1']
['ADK', 'ADSL', 'FKBP5', 'PTGES3', 'NR3C2']
['ADM', 'GNG2', 'PIK3R6', 'NRAS', 'PIK3CG']
['ADM2', 'GNB1', 'CGA', 'LHCGR', 'CGB8']
['ADM5', 'ADM2', 'IAPP', 'RAMP3', 'GNG2']
['ADNP', 'GLRX', 'MSRA', 'SOX7', 'GATA4']
['ADNP2', 'CBX1', 'PCGF1', 'AEBP2', 'YY1']
['ADO', 'CSAD', 'GGT5', 'GSTM5', 'GPX2']
